First Last,First,Last,Company,Domain
Heidi Cornell,Heidi,Cornell,"Young, Fabulous & Broke",www.yfbclothing.com
Celeste Barrett,Celeste,Barrett,Funboy,www.funboy.com
Amanda Baldwin,Amanda,Baldwin,Supergoop!,www.supergoop.com
Angel Merino,Angel,Merino,Artist Couture,www.artistcouture.com
Haley Brashear,Haley,Brashear,Agnes & Dora,www.agnesanddora.com
Deval Kamdar,Deval,Kamdar,Pastiche,www.pastiche.com.au
Mary Prioleau,Mary,Prioleau,The Jones Group Inc.,www.jny.com
Juliette Belle,Juliette,Belle,"Dermalogica, Inc.",www.dermalogica.com
Deuce Odg,Deuce,Odg,Deuce Brand,www.deucebrand.com
Tom Robinson,Tom,Robinson,Mosphaiti Clothing,www.mosphaiti.com
Douglas Browning,Douglas,Browning,Sweaty Bands,www.sweatybands.com
Kelsey Flaa Aycock,Kelsey,Aycock,Copper Pearl,www.copperpearl.com
Steve Madden,Steve,Madden,Steven Madden Ltd,www.stevemadden.com
Steve Christenson,Steve,Christenson,Steven Madden Ltd,www.stevemadden.com
Tia Tianello,Tia,Tianello,"Tianello, Inc.",www.tianello.com
Pompeii Lounge,Pompeii,Lounge,Pompeii,www.pompeiibrand.com
Andrew Coelho,Andrew,Coelho,monte & coe,www.monteandcoe.com
Scott Collins,Scott,Collins,DTLR Inc.,www.dtlr.com
Gillian Gorman Round,Gillian,Round,Kjaer Weis,www.kjaerweis.com
Brooke English,,,The Sock Drawer,www.sockdrawer.com
